date_month,localizacao
2024-01-16,"CANOAS, RIO GRANDE DO SUL"
2024-01-16,"PIRATINI, RIO GRANDE DO SUL"
2024-01-17,"SANTO ANTÔNIO DAS MISSÕES, RIO GRANDE DO SUL"
2024-01-19,"ELDORADO DO SUL, RIO GRANDE DO SUL"
2024-01-22,"SÃO LOURENÇO DO SUL, RIO GRANDE DO SUL"
2024-01-24,"SÃO LOURENÇO DO SUL, RIO GRANDE DO SUL"
2024-01-25,"SÃO LOURENÇO DO SUL, RIO GRANDE DO SUL"
2024-01-26,"SÃO LOURENÇO DO SUL, RIO GRANDE DO SUL"
2024-01-28,"SÃO JOSÉ DO NORTE, RIO GRANDE DO SUL"
2024-01-29,"PAVERAMA, RIO GRANDE DO SUL"
2024-01-30,"SAPUCAIA DO SUL, RIO GRANDE DO SUL"
2024-01-30,"CERRO GRANDE DO SUL, RIO GRANDE DO SUL"
2024-01-30,"SÃO JOSÉ DO NORTE, RIO GRANDE DO SUL"
2024-01-30,"ELDORADO DO SUL, RIO GRANDE DO SUL"
2024-01-30,"SÃO LOURENÇO DO SUL, RIO GRANDE DO SUL"
2024-01-30,"CAMAQUÃ, RIO GRANDE DO SUL"
2024-01-31,"PORTO ALEGRE, RIO GRANDE DO SUL"
2024-01-31,"TAVARES, RIO GRANDE DO SUL"
2024-01-31,"MOSTARDAS, RIO GRANDE DO SUL"
2024-02-01,"CHARQUEADAS, RIO GRANDE DO SUL"
2024-02-01,"CAPÃO DA CANOA, RIO GRANDE DO SUL"
2024-02-02,"ELDORADO DO SUL, RIO GRANDE DO SUL"
2024-02-03,"CRISTAL, RIO GRANDE DO SUL"
2024-02-03,"RIO GRANDE, RIO GRANDE DO SUL"
2024-02-04,"VIAMÃO, RIO GRANDE DO SUL"
2024-02-05,"CAMAQUÃ, RIO GRANDE DO SUL"
2024-02-06,"ITACURUBI, RIO GRANDE DO SUL"
2024-02-06,"SÃO BORJA, RIO GRANDE DO SUL"
2024-02-06,"SANTA VITÓRIA DO PALMAR, RIO GRANDE DO SUL"
2024-02-06,"ALEGRETE, RIO GRANDE DO SUL"
2024-02-07,"TAPES, RIO GRANDE DO SUL"
2024-02-07,"SÃO LOURENÇO DO SUL, RIO GRANDE DO SUL"
2024-02-07,"MOSTARDAS, RIO GRANDE DO SUL"
2024-02-08,"TAPES, RIO GRANDE DO SUL"
2024-02-08,"SÃO LOURENÇO DO SUL, RIO GRANDE DO SUL"
2024-02-08,"BOA VISTA DO CADEADO, RIO GRANDE DO SUL"
2024-02-08,"VIAMÃO, RIO GRANDE DO SUL"
2024-02-09,"CIDREIRA, RIO GRANDE DO SUL"
2024-02-14,"CAÇAPAVA DO SUL, RIO GRANDE DO SUL"
2024-02-17,"SANTA VITÓRIA DO PALMAR, RIO GRANDE DO SUL"
2024-02-18,"SAPUCAIA DO SUL, RIO GRANDE DO SUL"
2024-02-19,"SÃO LOURENÇO DO SUL, RIO GRANDE DO SUL"
2024-02-20,"SÃO LOURENÇO DO SUL, RIO GRANDE DO SUL"
2024-02-20,"PINHEIRO MACHADO, RIO GRANDE DO SUL"
2024-02-20,"DOM PEDRITO, RIO GRANDE DO SUL"
2024-02-20,"LAVRAS DO SUL, RIO GRANDE DO SUL"
2024-02-21,"SÃO LOURENÇO DO SUL, RIO GRANDE DO SUL"
2024-02-21,"MOSTARDAS, RIO GRANDE DO SUL"
2024-02-21,"VIAMÃO, RIO GRANDE DO SUL"
2024-02-22,"SÃO LOURENÇO DO SUL, RIO GRANDE DO SUL"
2024-02-22,"VIAMÃO, RIO GRANDE DO SUL"
2024-02-23,"TAPES, RIO GRANDE DO SUL"
2024-02-23,"SÃO LOURENÇO DO SUL, RIO GRANDE DO SUL"
2024-02-24,"PORTO ALEGRE, RIO GRANDE DO SUL"
2024-02-24,"JÚLIO DE CASTILHOS, RIO GRANDE DO SUL"
2024-02-24,"CAPÃO DA CANOA, RIO GRANDE DO SUL"
2024-02-28,"SAPUCAIA DO SUL, RIO GRANDE DO SUL"
2024-02-29,"TRIUNFO, RIO GRANDE DO SUL"
2024-03-01,"SÃO SEPÉ, RIO GRANDE DO SUL"
2024-03-01,"ENCRUZILHADA DO SUL, RIO GRANDE DO SUL"
2024-03-04,"PELOTAS, RIO GRANDE DO SUL"
2024-03-04,"PIRATINI, RIO GRANDE DO SUL"
2024-03-04,"PINHEIRO MACHADO, RIO GRANDE DO SUL"
2024-03-04,"SÃO LOURENÇO DO SUL, RIO GRANDE DO SUL"
2024-03-05,"PORTO ALEGRE, RIO GRANDE DO SUL"
2024-03-07,"TRAMANDAÍ, RIO GRANDE DO SUL"
2024-03-09,"SAPUCAIA DO SUL, RIO GRANDE DO SUL"
2024-03-10,"PIRATINI, RIO GRANDE DO SUL"
2024-03-10,"PEDRAS ALTAS, RIO GRANDE DO SUL"
2024-03-10,"MINAS DO LEÃO, RIO GRANDE DO SUL"
2024-03-11,"RIO GRANDE, RIO GRANDE DO SUL"
2024-03-12,"ARAMBARÉ, RIO GRANDE DO SUL"
2024-03-12,"MOSTARDAS, RIO GRANDE DO SUL"
2024-03-18,"TAPES, RIO GRANDE DO SUL"
2024-03-18,"PIRATINI, RIO GRANDE DO SUL"
2024-03-18,"PORTO ALEGRE, RIO GRANDE DO SUL"
2024-03-18,"MINAS DO LEÃO, RIO GRANDE DO SUL"
2024-03-20,"CHARQUEADAS, RIO GRANDE DO SUL"
2024-03-20,"ELDORADO DO SUL, RIO GRANDE DO SUL"
2024-03-20,"SÃO LOURENÇO DO SUL, RIO GRANDE DO SUL"
2024-03-22,"HERVAL, RIO GRANDE DO SUL"
2024-03-22,"JAGUARÃO, RIO GRANDE DO SUL"
2024-03-24,"VIAMÃO, RIO GRANDE DO SUL"
2024-03-25,"CRISTAL, RIO GRANDE DO SUL"
2024-03-25,"GUAÍBA, RIO GRANDE DO SUL"
2024-03-25,"SÃO LOURENÇO DO SUL, RIO GRANDE DO SUL"
2024-03-29,"CAMAQUÃ, RIO GRANDE DO SUL"
2024-03-30,"TRIUNFO, RIO GRANDE DO SUL"
2024-03-30,"CERRO GRANDE DO SUL, RIO GRANDE DO SUL"
2024-03-31,"VIAMÃO, RIO GRANDE DO SUL"
2024-01-04,"SAPUCAIA DO SUL, RIO GRANDE DO SUL"
2024-01-04,"CHARQUEADAS, RIO GRANDE DO SUL"
2024-01-13,"BAGÉ, RIO GRANDE DO SUL"
2024-01-13,"SANTANA DA BOA VISTA, RIO GRANDE DO SUL"
2024-01-13,"URUGUAIANA, RIO GRANDE DO SUL"
2024-01-13,"SENTINELA DO SUL, RIO GRANDE DO SUL"
2024-01-13,"CANGUÇU, RIO GRANDE DO SUL"
2024-01-13,"CACHOEIRA DO SUL, RIO GRANDE DO SUL"
2024-01-13,"BOA VISTA DO INCRA, RIO GRANDE DO SUL"
2024-01-13,"TRIUNFO, RIO GRANDE DO SUL"
2024-01-13,"CANDIOTA, RIO GRANDE DO SUL"
2024-01-13,"PIRATINI, RIO GRANDE DO SUL"
2024-01-14,"SAPUCAIA DO SUL, RIO GRANDE DO SUL"
2024-01-15,"CERRITO, RIO GRANDE DO SUL"
2024-01-19,"MONTENEGRO, RIO GRANDE DO SUL"
2024-01-19,"PANTANO GRANDE, RIO GRANDE DO SUL"
2024-01-28,"SAPUCAIA DO SUL, RIO GRANDE DO SUL"
2024-01-30,"VIAMÃO, RIO GRANDE DO SUL"
2024-01-31,"GENERAL CÂMARA, RIO GRANDE DO SUL"
2024-01-31,"DOM FELICIANO, RIO GRANDE DO SUL"
